date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover,name
2025-09-02,688347,83.17,76.8,83.26,76.0,619732,4872722893.0,8.47,-10.4,-8.91,15.2,华虹公司
2025-09-03,688347,75.6,77.89,80.66,74.07,400143,3114165945.0,8.58,1.42,1.09,9.81,华虹公司
2025-09-04,688347,76.0,69.35,76.4,68.8,433130,3122243243.0,9.76,-10.96,-8.54,10.62,华虹公司
2025-09-05,688347,69.98,72.15,72.79,67.38,317079,2236622031.0,7.8,4.04,2.8,7.78,华虹公司
2025-09-08,688347,71.02,70.05,71.8,68.01,302879,2111811197.0,5.25,-2.91,-2.1,7.43,华虹公司
2025-09-09,688347,69.01,67.3,70.49,67.3,205839,1412313148.0,4.55,-3.93,-2.75,5.05,华虹公司
2025-09-10,688347,67.9,68.3,69.5,67.19,193365,1321199231.0,3.43,1.49,1.0,4.74,华虹公司
2025-09-11,688347,67.86,73.0,74.42,67.08,339712,2430094239.0,10.75,6.88,4.7,8.33,华虹公司
2025-09-12,688347,72.9,74.8,76.47,72.4,331360,2487920210.0,5.58,2.47,1.8,8.13,华虹公司
2025-09-15,688347,77.9,76.86,78.58,73.73,290912,2222502765.0,6.48,2.75,2.06,7.13,华虹公司
2025-09-16,688347,76.25,76.9,77.99,75.57,235653,1808051190.0,3.15,0.05,0.04,5.78,华虹公司
2025-09-17,688347,76.9,80.69,81.6,75.5,311890,2493580634.0,7.93,4.93,3.79,7.65,华虹公司
2025-09-18,688347,81.11,82.49,88.88,80.01,366112,3065452942.0,10.99,2.23,1.8,8.98,华虹公司
2025-09-19,688347,82.9,83.0,86.8,81.6,253890,2136934904.0,6.3,0.62,0.51,6.23,华虹公司
2025-09-22,688347,83.1,84.66,86.67,80.68,306066,2548693429.0,7.22,2.0,1.66,7.51,华虹公司
2025-09-23,688347,84.0,81.9,84.5,79.12,283101,2301302794.0,6.35,-3.26,-2.76,6.94,华虹公司
2025-09-24,688347,81.1,85.38,87.98,80.33,309193,2610977669.0,9.34,4.25,3.48,7.58,华虹公司
2025-09-25,688347,85.3,90.38,93.0,84.9,323356,2888079611.0,9.49,5.86,5.0,7.93,华虹公司
